"codigo";"instituicao";"municipio";"uf"
"004113";"FACULDADE EVANGÉLICA DE CERES (FACER)";"Ceres";"GO"
"015173";"FACULDADE EVANGÉLICA DE JARAGUÁ (FEJA)";"Jaraguá";"GO"
"000985";"FACULDADE EVANGÉLICA DE RUBIATABA (FER)";"Rubiataba";"GO"
"001937";"FACULDADE EVANGÉLICA DE SALVADOR (FACESA)";"Salvador";"BA"
"002806";"FACULDADE EVANGÉLICA DE SÃO PAULO";"São Paulo";"SP"
"017680";"FACULDADE EVANGÉLICA DE SENADOR CANEDO (FESC)";"Senador Canedo";"GO"
"003525";"FACULDADE EVANGÉLICA DE TECNOLOGIA, CIÊNCIAS E BIOTECNOLOGIA DA CGADB (FAECAD)";"Rio de Janeiro";"RJ"
"002539";"FACULDADE EVANGÉLICA DO MEIO NORTE (FAEME)";"Coroatá";"MA"
"000353";"FACULDADE EVANGÉLICA DO PARANÁ (FEPAR)";"Curitiba";"PR"
"002827";"FACULDADE EVANGÉLICA DO PIAUI (FAEPI)";"Teresina";"PI"
"011841";"FACULDADE EVOLUÇÃO ALTO OESTE POTIGUAR (FACEP)";"Pau dos Ferros";"RN"
"018646";"Faculdade Evolução do Vale do Acaraú (FAEVA)";"Sobral";"CE"
